                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7102,                 4.2349,                 1.7926,                  0.125,                0.04167,                0.08333,                0.04167,                  1.736,                 4.0836,                 1.9549,             0.00011572,             0.00011572,             0.00011572
                      2,                 1.5984,                   3.87,                 1.6687,                 0.0202,                0.46875,                0.09804,                 0.0538,                 1.6023,                 3.9886,                  1.825,             0.00023436,             0.00023436,             0.00023436
                      3,                 1.5791,                 3.5193,                 1.6503,                0.81577,                0.10417,                0.20111,                0.14019,                 1.6873,                 3.5581,                 1.9128,              0.0003506,              0.0003506,              0.0003506
                      4,                 1.5067,                 3.1886,                 1.5886,                0.84742,                0.08333,                0.21918,                0.12119,                 1.8346,                 3.2842,                  2.084,             0.00046444,             0.00046444,             0.00046444
                      5,                 1.4673,                 3.0638,                 1.5824,                0.77205,                 0.1875,                 0.2461,                 0.1482,                 1.9678,                 3.5246,                  2.207,             0.00050517,             0.00050517,             0.00050517
                      6,                 1.4752,                 2.8997,                 1.6058,                0.77005,                0.24149,                0.40624,                 0.2234,                 1.8961,                 2.8764,                 2.0082,             0.00050517,             0.00050517,             0.00050517
                      7,                 1.4913,                 2.8185,                 1.6265,                0.66015,                0.34411,                0.43809,                0.25093,                 1.8351,                 3.0036,                 1.8989,             0.00049996,             0.00049996,             0.00049996
                      8,                  1.449,                 2.5972,                 1.5818,                0.53745,                0.41003,                0.59161,                0.33527,                 1.7228,                 3.1794,                  1.903,             0.00049476,             0.00049476,             0.00049476
                      9,                 1.4558,                 2.5672,                 1.5693,                0.54165,                0.40625,                0.54736,                0.30258,                 1.6443,                 2.8324,                 1.8646,             0.00048955,             0.00048955,             0.00048955
                     10,                 1.4376,                 2.4466,                  1.538,                0.61206,                0.47917,                0.44058,                0.29163,                 1.7245,                 2.9005,                 1.8105,             0.00048434,             0.00048434,             0.00048434
                     11,                 1.4101,                 2.3576,                 1.5162,                0.72877,                0.35233,                0.53488,                0.37175,                 1.5751,                 2.6867,                 1.8076,             0.00047913,             0.00047913,             0.00047913
                     12,                 1.3891,                 2.2752,                 1.5067,                0.65311,                0.40625,                0.40898,                0.23648,                 1.6099,                 2.9472,                 1.9327,             0.00047393,             0.00047393,             0.00047393
                     13,                 1.3624,                 2.3307,                 1.5364,                  0.495,                0.46875,                0.39831,                0.25753,                 1.8023,                 3.0651,                 2.1058,             0.00046872,             0.00046872,             0.00046872
                     14,                 1.3176,                 2.2184,                  1.496,                0.89776,                   0.25,                0.51915,                0.34487,                 1.7461,                 2.8241,                 1.9812,             0.00046351,             0.00046351,             0.00046351
                     15,                 1.3392,                 2.0586,                 1.4648,                0.64175,                0.55311,                0.59655,                0.38738,                 1.5461,                 2.5502,                 1.7573,              0.0004583,              0.0004583,              0.0004583
                     16,                 1.2896,                  2.004,                 1.4267,                 0.5363,                  0.375,                0.52294,                 0.3487,                 1.6724,                 2.9049,                 1.9231,              0.0004531,              0.0004531,              0.0004531
                     17,                 1.3313,                 2.1027,                 1.4611,                0.70477,                0.34375,                0.47057,                0.33971,                 1.5739,                 2.7048,                 1.7765,             0.00044789,             0.00044789,             0.00044789
                     18,                 1.3021,                 2.0048,                 1.4232,                0.40464,                0.44792,                0.46031,                0.33733,                 1.4883,                 2.7803,                 1.7643,             0.00044268,             0.00044268,             0.00044268
                     19,                 1.2466,                  1.965,                 1.3999,                0.69598,                0.32292,                0.46791,                0.35231,                 1.3969,                  2.547,                 1.6797,             0.00043747,             0.00043747,             0.00043747
                     20,                 1.3089,                 1.9516,                  1.434,                0.66997,                0.42196,                0.50026,                0.35602,                 1.5174,                 2.5777,                 1.8303,             0.00043227,             0.00043227,             0.00043227
                     21,                 1.2427,                 1.8056,                 1.3884,                 0.6439,                0.41141,                0.54463,                0.39783,                  1.585,                 2.5348,                 1.6981,             0.00042706,             0.00042706,             0.00042706
                     22,                  1.251,                 1.7802,                 1.3691,                0.41884,                0.46875,                0.56464,                0.39613,                 1.5218,                 2.4228,                 1.6831,             0.00042185,             0.00042185,             0.00042185
                     23,                 1.2353,                 1.7982,                 1.3757,                0.72428,                0.37682,                0.58146,                0.39501,                 1.4431,                  2.387,                 1.6811,             0.00041664,             0.00041664,             0.00041664
                     24,                 1.1692,                 1.7549,                 1.3456,                0.54588,                0.63542,                0.57765,                0.36242,                 1.5173,                 2.1247,                 1.8062,             0.00041144,             0.00041144,             0.00041144
                     25,                 1.2266,                 1.7423,                 1.3837,                0.63199,                0.56583,                0.63908,                0.42703,                 1.5523,                  1.914,                 1.7674,             0.00040623,             0.00040623,             0.00040623
                     26,                 1.1664,                 1.6276,                   1.33,                0.58874,                0.62748,                0.60097,                0.36376,                 1.7288,                 2.3168,                 1.9251,             0.00040102,             0.00040102,             0.00040102
                     27,                 1.1776,                 1.7248,                 1.3283,                0.63248,                0.46456,                0.56524,                0.35957,                 1.6314,                 2.7077,                  1.881,             0.00039581,             0.00039581,             0.00039581
                     28,                 1.1508,                 1.6429,                  1.339,                0.57786,                0.58452,                0.65963,                0.42668,                 1.5609,                  2.326,                 1.8738,             0.00039061,             0.00039061,             0.00039061
                     29,                 1.1515,                 1.6581,                 1.3344,                0.70625,                0.51042,                0.67058,                0.48032,                 1.4293,                 2.3332,                 1.7278,              0.0003854,              0.0003854,              0.0003854
                     30,                 1.1736,                 1.5645,                 1.3072,                0.74059,                0.57292,                0.61764,                0.40564,                 1.5633,                 2.4883,                 1.7448,             0.00038019,             0.00038019,             0.00038019
                     31,                 1.1883,                 1.6207,                 1.3167,                0.62177,                0.67843,                 0.7076,                0.47774,                 1.5325,                 2.1243,                 1.7524,             0.00037499,             0.00037499,             0.00037499
                     32,                 1.1048,                 1.5292,                 1.2811,                0.46502,                0.64583,                0.59374,                0.38783,                 1.3874,                 2.1378,                 1.6978,             0.00036978,             0.00036978,             0.00036978
                     33,                 1.0977,                 1.4957,                 1.2949,                0.66997,                0.53568,                0.65213,                0.42563,                 1.4252,                  2.203,                 1.6835,             0.00036457,             0.00036457,             0.00036457
                     34,                 1.0929,                 1.4892,                 1.2881,                0.58203,                0.56492,                0.64441,                 0.4401,                 1.3987,                 2.1339,                 1.7849,             0.00035936,             0.00035936,             0.00035936
                     35,                 1.0944,                 1.3902,                 1.2631,                0.79948,                0.51042,                0.54704,                0.39663,                 1.3419,                 2.0395,                 1.7249,             0.00035416,             0.00035416,             0.00035416
                     36,                  1.053,                 1.4122,                 1.2727,                0.68845,                0.52083,                0.59843,                0.41975,                  1.356,                 2.2894,                 1.7527,             0.00034895,             0.00034895,             0.00034895
                     37,                 1.0353,                 1.3354,                 1.2512,                0.52298,                0.65601,                0.67176,                0.46607,                 1.3689,                 2.2487,                 1.7644,             0.00034374,             0.00034374,             0.00034374
                     38,                 1.0396,                 1.3797,                  1.253,                0.77405,                 0.5625,                0.72047,                0.49409,                 1.4422,                 2.1338,                 1.7533,             0.00033853,             0.00033853,             0.00033853
                     39,                 1.0637,                 1.3868,                 1.2571,                0.58047,                0.53344,                0.66875,                 0.4406,                 1.5311,                 2.2493,                 1.6973,             0.00033333,             0.00033333,             0.00033333
                     40,                 1.0656,                 1.3833,                 1.2603,                0.88729,                 0.4375,                0.64005,                0.47269,                   1.38,                 2.3033,                 1.6787,             0.00032812,             0.00032812,             0.00032812
                     41,                 1.0498,                 1.3971,                 1.2509,                 0.6538,                0.63136,                0.62593,                0.47649,                 1.4472,                 2.0062,                 1.6606,             0.00032291,             0.00032291,             0.00032291
                     42,                  1.003,                 1.2709,                 1.2344,                0.52085,                0.64583,                0.70741,                0.49341,                 1.4826,                 1.8864,                  1.657,              0.0003177,              0.0003177,              0.0003177
                     43,                 1.0025,                 1.3005,                 1.2197,                0.76265,                0.47665,                0.65154,                0.45712,                 1.3655,                 2.0225,                 1.6378,              0.0003125,              0.0003125,              0.0003125
                     44,                 1.0311,                 1.2941,                  1.247,                0.60203,                0.68174,                0.69408,                0.51264,                 1.3769,                   1.99,                 1.6348,             0.00030729,             0.00030729,             0.00030729
                     45,                 1.0235,                 1.2577,                 1.2455,                0.83099,                0.58412,                0.72239,                0.50252,                 1.5141,                 1.9045,                 1.7602,             0.00030208,             0.00030208,             0.00030208
                     46,                 1.0857,                 1.3694,                 1.2947,                0.66746,                0.64454,                0.71343,                 0.5008,                 1.4615,                   1.78,                  1.689,             0.00029687,             0.00029687,             0.00029687
                     47,                 1.0098,                 1.3354,                  1.256,                0.71704,                0.66565,                0.70166,                0.50585,                 1.4534,                 1.9227,                 1.7412,             0.00029167,             0.00029167,             0.00029167
                     48,                0.95992,                 1.2011,                 1.1963,                0.60537,                 0.5625,                 0.7214,                 0.4967,                 1.3831,                 1.9843,                 1.7592,             0.00028646,             0.00028646,             0.00028646
                     49,                0.94549,                 1.2091,                 1.1812,                0.61025,                0.64583,                0.69973,                0.47635,                  1.366,                 1.8231,                 1.7175,             0.00028125,             0.00028125,             0.00028125
                     50,                0.97271,                 1.1743,                 1.1869,                0.64043,                0.63681,                0.70169,                0.48757,                 1.2885,                 2.0078,                 1.6367,             0.00027604,             0.00027604,             0.00027604
                     51,                0.96786,                  1.194,                  1.172,                0.64609,                0.61928,                0.64397,                0.43914,                 1.3677,                 1.9997,                 1.6451,             0.00027084,             0.00027084,             0.00027084
