                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7315,                 4.3273,                 1.8628,                      0,                      0,                      0,                      0,                 1.5193,                  4.157,                 1.6257,                 0.0009,                 0.0009,                 0.0009
                      2,                 1.6997,                 4.2605,                 1.7861,                      0,                      0,                      0,                      0,                 1.7497,                 4.1545,                 1.7852,              0.0018991,              0.0018991,              0.0018991
                      3,                 1.6364,                 4.1871,                 1.7114,                 0.0303,                0.00433,                0.01587,                0.01429,                 2.0284,                 4.2394,                 2.1106,              0.0028971,              0.0028971,              0.0028971
                      4,                 1.5543,                 4.0447,                 1.6205,                0.02889,                0.16558,                0.03857,                0.02397,                 1.6862,                 4.2544,                 1.8432,              0.0038942,              0.0038942,              0.0038942
                      5,                 1.6095,                 3.8724,                 1.7086,                0.02124,                0.30952,                 0.0526,                0.02873,                 1.8028,                 4.2265,                 1.9364,              0.0048903,              0.0048903,              0.0048903
                      6,                 1.6259,                  3.605,                 1.6982,                0.00693,                0.38203,                0.06932,                0.03441,                 1.8681,                 4.0732,                 1.9922,              0.0058854,              0.0058854,              0.0058854
                      7,                 1.6306,                 3.4227,                 1.6735,                0.89359,                0.01515,                0.04499,                0.01989,                 2.1991,                 4.0157,                 2.2791,              0.0068795,              0.0068795,              0.0068795
                      8,                 1.6134,                 3.3002,                 1.6742,                0.00836,                0.38041,                0.12639,                0.07473,                 2.1647,                 4.0301,                 2.0652,              0.0078726,              0.0078726,              0.0078726
                      9,                 1.5425,                 3.1084,                 1.6262,                0.39601,                 0.0582,                0.15701,                0.09477,                 1.8518,                 3.5142,                 1.8314,              0.0088648,              0.0088648,              0.0088648
                     10,                 1.5654,                 3.1088,                  1.669,                0.45706,                0.04277,                0.16334,                0.06087,                 1.8358,                 3.3761,                 1.8498,              0.0098559,              0.0098559,              0.0098559
                     11,                 1.6322,                 3.0686,                 1.6787,                 0.4265,                0.14935,                 0.1574,                0.06522,                 1.9011,                 3.3058,                 1.8571,              0.0099505,              0.0099505,              0.0099505
